Question,Answer,topics
"Q: Did anyone tell you where you were going, or why you were going?","A: Don't be funny. Tell me. Who I am, I am nothing. Tell me. I live -- they give youfood a little. You have where to sleep, that's all.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.25Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Did you have someplace to sleep in that cattle car -- in that -- in that train? Do,"A: Yes, yes.","[1, 2, 3]"
Q: Yes?,A: You lay on the floor and you sleep.,"[1, 2, 3]"
Q: Okay.,"A: So. That's a-- such a naive. So --so we --I were up there, I got up there, it's verycold in this [indecipherable]","[1, 2, 3]"
Q: Okay.,A: And I was three years up there.,"[1, 2, 3]"
"Q: Where were you, where did they bring you?",A: They have such a big -- I don't know how to call it. Big. There were -- peoplewere sleeping by hundreds.,"[1, 2, 3]"
"Q: Was it like a labor camp, or work camp?","A: A work camp, I don't know --","[1, 2, 3]"
Q: It was a work camp.,"A: Work camp, right.","[1, 2, 3]"
Q: Now the Russian word could be gulag. Was it a gulag?,"A: It was a gulag, too.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.76Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Okay.,"A: So, up there I was three years. Later they starting letting out slow, people.","[1, 2, 3]"
Q: But let me -- I want to stay with these three years. So they | -- they bring you to,"A: Well, what do you think of -- you do?","[1, 2, 3]"
Q: Okay.,A: They were -- they -- I will ask you what you do. Oh boy. So they -- after threeyears they let you slowly out --,"[1, 2, 3]"
"Q: But -- Matthew, I'm -- I need -- I'd like to -- I'd really like to find out what","A: They gave me work in the -- something, repairing something, building something. What's the point? You're only tool, you know, you're not j -- M: How -- how many were -- were there -- how many people were there with you?","[1, 2, 3]"
"Q: But -- Matthew, I'm -- I need -- I'd like to -- I'd really like to find out what","A: Three thousand, two thousand.","[1, 2, 3]"
Q: Were they all from Poland?,"A: Most of them. But it's funny thing, a lot of Jews.","[1, 2, 3]"
Q: A lot of Jews?,"A: Right. And I was there -- there final, this is the -- slowly they started letting out.You understand, there are sit -- 3,000, you're exhausted, and there's nothing morethey want to do, so slowly there that you're old. You still are -- are alive. You stillare alive. Your first thing, go home, right? So you schlepping home through Asia.","[1, 2, 3]"
Q: Through Asia.,"A: Yeah. So getting [indecipherable] and after different performances, you arehome.","[1, 2, 3]"
Q: Okay.,"A: They have music. La-Laborer, so you're only part of labor. What your --","[1, 2, 3]"
Q: Did a lot of people die there?,A: Enough.,"[1, 2, 3]"
Q: Enough. And what did they usually die of?,"A: I don't know, they get different sickening [indecipherable] infection and this,that.","[1, 2, 3]"
Q: Were you hungry while you were there?,A: You were once in any labor?,"[1, 2, 3]"
Q: Never.,"A: So there hunger -- a guy who works by hand is always hungry. But this is notimportant, they don't kill you. You're hungry, so -- I will tell you why I am tellingyou this.","[1, 2, 3]"
Q: Tell me.,"A: So I came back home after big, big ba-bom-ba-boom, I'm home. Now is[indecipherable] came to my house. Janitor [indecipherable] house, mister, yourwhole wife is killed, o-or -- all the people of your family is killed. Which mean[indecipherable] they came here, and they killed them. Why? They're Jews. Theydon't like Jews. I was [indecipherable] when I heard the news, I didn't know whatto do. Go to my brother house, they're all killed, even the small kid who was two --two years, are killed. So I was looking. I did make a better bargain than there.Nobody's killing me out there. I didn't eat so much, I can survive. But here wasmurder.","[1, 2, 3]"
Q: Yeah.,A: Iwas -- my wife -- my wife -- my mother.,"[1, 2, 3]"
Q: You were married by then?,"A: No, my mother, I-- you know mother, your mother.M: Yeah, he means his mother.","[1, 2, 3]"
"Q: He means his mother. Q: Okay, okay.",A: So -- so --so I went to my mother. My mother --,"[1, 2, 3]"
Q: Yeah.,A: -- was suicide.,"[1, 2, 3]"
Q: Oh dear.,"A: So she has a very good friend, Polish woman. She came to me, Joe, I will tellyou why your mother suicide.","[1, 2, 3]"
Q: Okay.,"A: Why. They have it a big public houses. The soldier can go and have sex howmany times he wants. So this kind of women are dying very fast. So your mother[indecipherable] suicide. This was -- that was the end of the story. Coming down --and then I went right away to Polish army, and I was in Polish army three years.","[1, 2, 3]"
"Q: So can you explain to me, because there were many Polish armies. There was the","A: You talk about he -- historics, you don't take about this now. You talk about whoit was once. And here is -- was not Polish army. Was one Polish army under thedirection English, you know.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.30Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: Oh yeah, that was General Anders army. Under the English direction was",A: You talk about different sha -- time.,"[1, 2, 3]"
Q: Okay.,A: So-- so -- and --,"[1, 2, 3]"
Q: You joined.,"A: --I went. For three years I was in army, and was in Berlin, and they tell megoodbye Charlie, go home. So I went home. I went to Polish movies. Atmospherewas stinking. You couldn't go around. I didn't feel like natural. I see like the eyesare different, it is look at me like -- like a something what I sha -- what I shouldn'tbe in Poland.","[1, 2, 3]"
Q: Cause you were Jewish?,A: Yeah.,"[1, 2, 3]"
Q: Okay.,"A: Because I don't belong here. I'm a -- I'm -- Germans -- German so long, that theyimpressed the Polish, Jewish are this, are that, are something, not -- so it wasn't that--so you -- suddenly you see lots of Jewish in America. Simply they run away, was--1s no place to live.","[1, 2, 3]"
Q: Yeah.,A: So---,"[1, 2, 3]"
Q: Where did you go?,"A: When did I go? I was in -- no, I was in the army.","[1, 2, 3]"
Q: You were in ar -- tell me about army.,A: Yeah.,"[1, 2, 3]"
Q: Tell me about those three years in the army.,A: [indecipherable] what you doing in the army.,"[1, 2, 3]"
Q: Where were you fighting?,"A: Oh, straight from ac -- the line of the Lvov, straight to Berlin.","[1, 2, 3]"
"Q: So, through Poland.","A: Sure. I wa -- what else to be? Okay, c'est la vie, this is it.","[1, 2, 3]"
Q: Wa -- were you a soldier? What was your job in the army?,A: Killing.,"[1, 2, 3]"
"Q: Yes, of course. But --","A: So it's nothing pleasant and nothing nice. I was a deadly enemy of German,that's all. And it was -- means nothing to talk, should he give in, should she give up,I don't care. I'm getting the dessert. So the [indecipherable] the war, you shouldknow. So [indecipherable] later, I started what I started. I don't unders -- I -- I wentto Polish film, was not a friend [indecipherable] The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.32Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Then what did you do?,"A: But going to Polish film, I looked up the film. I go look it up. I saw a coupleJews who [indecipherable] Christian and they're living up there.","[1, 2, 3]"
"Q: Ah, they were passing as Christians?",A: Yeah.,"[1, 2, 3]"
Q: Okay. Was this back in Lvov?,A: Yeah.,"[1, 2, 3]"
Q: Okay.,"A: Later I--I push [indecipherable] it was the other name, I forgot. So this[indecipherable] and then [indecipherable] one place where people who wants togo and for a doctor, come together. They put their name, and this guy decidedwhere you will go. You can go -- you -- they send you to America, they send you toChile. They send you where you want, where you don't want.","[1, 2, 3]"
"Q: Were you still in Poland when you were -- you know, when you started to make",A: What I was?,"[1, 2, 3]"
"Q: Were you still in Lvov, had you already moved out of Lvov? Where were you","A: I was not in Lvov, it was a different, other country. What's the difference?The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.=Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Was it Austria?,"A: I-- yeah, I decided to move out from Poland. I didn't like this. Most men don'tdo me any favors [indecipherable]. So I went and I talk [indecipherable] Poland,th-they [indecipherable] to Asia, heck knows, they go in [indecipherable] So I[indecipherable] right, and it sounds a little bit English, so I thought, let's see thisway. When I say this way -- women like to attach to the man. They feel securerlater, more -- a young woman by itself is in less -- less dangerous situation, evenfrom Jews, you understand? So they like to attach to a man to defend her.","[1, 2, 3]"
Q: It's safer.,A: Defend her.,"[1, 2, 3]"
Q: Yeah.,"A: So [ attach. I attach not to one, I attach to three Jews, yeah. They attach -- theyattaches -- attached to me. They were very friendly then, and two were very prettygirl. So I say, you know what, I will come there a lot. Let's do [indecipherable]make a business. I married. Was very nice wedding.","[1, 2, 3]"
Q: Yeah?,A: I didn't have a penny but the wedding was beautiful.,"[1, 2, 3]"
Q: Really?,"A: Really.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.34Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: What was your wife's name?,A: She is here.,"[1, 2, 3]"
"Q: I know, but tell me, what was name when you met her.",A: Same still as what is there.,"[1, 2, 3]"
Q: Okay. Where did you meet her?,"A: On the street. Where I have to meet a woman? Where I meet her? I meet her, hermother and her sister in ge --","[1, 2, 3]"
Q: In what country?,A: In Poland.,"[1, 2, 3]"
"Q: Oh, you met her in Poland?",A: Yeah.,"[1, 2, 3]"
Q: Okay.,A: So we decided I am the partner familias(ph) and I am taking over the gang.,"[1, 2, 3]"
Q: Okay.,"A: And [indecipherable] was very as -- attractive, very, very friendly, and hermother tell me, what do you look for a rock, you have a diamond here. And Imarried the diamond.","[1, 2, 3]"
Q: You married the diamond.,"A: Yeah. I --I didn't see the diamonds, but [indecipherable]. So, and we went anddiscover America.","[1, 2, 3]"
Q: Together.,"A: Say la -- yeah, e'est la vie.","[1, 2, 3]"
"Q: Well, tell me, from what country did you leave for America?",A: Poland.,"[1, 2, 3]"
"Q: Oh really? Q: Was it from Austria, or from Poland?","A: No, no, no, no, no, no. We are from Poland.","[1, 2, 3]"
Q: Yes.,"A: But we have to go through Austria. You understand, because this is justconnect. Okay, who cares?","[1, 2, 3]"
Q: A lot of people care.,A: We just go to America.,"[1, 2, 3]"
Q: Okay.,"A: And now you have the whole story like -- no charge, let's go something to eat[indecipherable] The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.36Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: You know, I have one more question to ask you, and that is, when you got to","A: No, no, I--no MGM.","[1, 2, 3]"
Q: No MGM?,A: No MGM.,"[1, 2, 3]"
Q: How did you support your family here?,A: You work.,"[1, 2, 3]"
"Q: What did you do, what kind of work?","A: Wait, I have to remember, I don't remember what I do. I worked for somebody, Idon't know, I don't remember.","[1, 2, 3]"
Q: Okay.,"A: For somebody here, for a while. M: You were at a store.","[1, 2, 3]"
Q: Okay.,"A: Later, this is the business. Later, no, you want -- she wants to know beginning. Iwork for somebody, I don't remember, so --","[1, 2, 3]"
Q: Okay.,A: So-,"[1, 2, 3]"
"Q: Well, that's the short version. That's a fascinating version, you know, of what",A: It's enough. M: Do you want to tell us more a-after --,"[1, 2, 3]"
"Q: Well, that's the short version. That's a fascinating version, you know, of what","A: No, I don't want to tell us more, my wife will kill me.","[1, 2, 3]"
"Q: No, she won't. Q: She wants you to tell us.",A: And you believe it?,"[1, 2, 3]"
Q: Yes.,A: You're naive.,"[1, 2, 3]"
Q: Probably. That's why I want to talk to you so you would tell me the truth.,"A: Yeah, I want to tell you, smart people don't take the truth.","[1, 2, 3]"
"Q: Oh, they don't, huh?","A: What is to do? It's gone, poof. Don't -- don't -- who needs to repeat the business?","[1, 2, 3]"
Q: Did you ever tell your kids about any of this?,A: No.,"[1, 2, 3]"
Q: Why not?,"A: I [indecipherable] that life should be so low, and so degrading. Let them thinkthat life is good, and they will be big, and they are. And my grandson who has a bigmouth is up there. Oh, you hear him? He's very bright, talented --","[1, 2, 3]"
"Q: Yes, he is.",A: -- and successful man.,"[1, 2, 3]"
"Q: Yes, yes.","A: Yeah. So I don't complain. Everybody said my wife is where she belongs, inbed, and you live until you die, it's -- it's gone [indecipherable] it's gone. Don'trepeat it, don't cry. Baby don't cry, it's nothing to cry. Is gone. Yeah, it was notvery pleasant to be kicked around, this was not pleasant. But you went it through.It's -- sitting in a place, you try to make a nice living, with nice family. They arevery nice, my family is very nice. Can't complain. Very nice grandchildren. I can't[indecipherable]. They live quite nice, they settle down. So my life is gone. Still alittle bit, and goodbye Charlie. What else?","[1, 2, 3]"
Q: Oh my.,"A: Not my, all what else?","[1, 2, 3]"
Q: What else? [technical discussion],"A: Before war, or after war?","[1, 2, 3]"
"Q: During war, when you were there. When you were there and they let you -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.","A: Remember, I was a slave, what do you think it was [indecipherable]. I don'thave any life. Are you crazy, or what? And I are a slave.","[1, 2, 3]"
Q: And --,"A: Especial [indecipherable] army, they didn't like Polish like hell.","[1, 2, 3]"
Q: Yeah.,A: Polish and the Russian hate each other. And Jews in between.,"[1, 2, 3]"
"Q: So when you say you were a slave, did that mean that every single day, you were","A: No, no.","[1, 2, 3]"
Q: No.,"A: I [indecipherable] a slave physically, you work, that's all.","[1, 2, 3]"
"Q: Okay. When you -- when they released you, you know, th -- you say you were in",A: Yeah.,"[1, 2, 3]"
"Q: And do you remember the place that it was, what the name of it was?","A: Ah, who cares.","[1, 2, 3]"
Q: Okay.,"A: Go away, so.","[1, 2, 3]"
"Q: Was it in Siberia, was it in the Taiga , or was it -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.","A: No [indecipherable] Siberia, but I went to Asia, real short traverse to Asia.","[1, 2, 3]"
Q: How did you -- how did you get back to Poland? That's a long way away. What,A: It's --Isa--I have something tell you. In this train --,"[1, 2, 3]"
Q: Yeah.,"A: -- [indecipherable] in direction were riding so many women. So when they see aman, you are sure all right.","[1, 2, 3]"
"Q: I see. So some ladies helped you get on the trains, take a ride.",A: Thelped them too.,"[1, 2, 3]"
Q: Okay. Do you want to tell me how?,"A: You can't even -- in your -- in your age, you have to know.","[1, 2, 3]"
Q: Okay. Okay.,"A: So, what we are -- we are [indecipherable] my darling, let's go something, toother place.M: Did you want to tell -- how did you get out of the camp?","[1, 2, 3]"
Q: How did you get out of the camp?,A: They let you go. M: They let you go?,"[1, 2, 3]"
Q: How did you get out of the camp?,"A: Yeah [indecipherable] The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.41Interview with Joseph BachDecember 12, 2015M: How were you able to board a train?","[1, 2, 3]"
Q: Yeah.,"A: Boarded a --M: You got -- you traveled by train, right?","[1, 2, 3]"
Q: You traveled by train. How did you get from the camp to the train?,"A: You go and then go in the train, that's all. M: Well, you didn't need papers, or --","[1, 2, 3]"
Q: You traveled by train. How did you get from the camp to the train?,A: They don't had so much papers. They know it's the -- it's ending.,"[1, 2, 3]"
Q: Oh. Did you have to walk by foot from the camp to the train station?,"A: You went by foot, by this, by that. Whenever you can, you walk.","[1, 2, 3]"
"Q: And were you alone when you left, or did everybody leave at the same time?","A: No, I was alone, all the time alone. I was never alone when any car is a woman [indecipherable] always -- women help me a lot. They give me food. M: Which cities did you travel through?","[1, 2, 3]"
"Q: And were you alone when you left, or did everybody leave at the same time?",A: Sure a lot of food.,"[1, 2, 3]"
Q: Which -- which cities did you travel through?,A: Did what?M: From --,"[1, 2, 3]"
"Q: From which -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview. Q: -- from -- yeah, from where the camp was to Poland. You said you went through","A: No, don't give the funny questions, what city? A girl [indecipherable] aboutcity, what city, whose train you go? This is not such a conventional stuff.","[1, 2, 3]"
Q: I believe it. I believe it. Is there anything you'd want young children to know,A: No.,"[1, 2, 3]"
Q: Is there anything you'd want young adults to know about these times?,A: No.,"[1, 2, 3]"
"Q: No, huh?","A: No. You don't need it. You are having quite a life, you don't need this crazystuff, to know, to enjoy, to discuss, or look. You look normal life. This what youlook. Don't look for crazy stuff. You can get crazy. It's it -- it's not normal. So let'sforget about it.","[1, 2, 3]"
"Q: Okay, Mr. Bach. I -- I agree with you. I agree with you.","A: And drink coffee, so --","[1, 2, 3]"
Q: And let's drink coffee and enjoy -- enjoy things.,"A: Who cares to know?The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.43Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Yeah.,"A: It was nothing pleasant, there was -- okay --","[1, 2, 3]"
Q: Thank you.,"A: -- we're here, everybody's happy [indecipherable] family. They're marrying,they're not marrying, they do what they want. Good luck. We old people, we arefalling back. By us it's only one question, when. When we will die. Nothing -- allother are funny question. [indecipherable] We -- we don't count.","[1, 2, 3]"
"Q: Oh, you count.",A: No.,"[1, 2, 3]"
Q: But thank you for enjoying all of my questions.,A: Yeah.,"[1, 2, 3]"
"Q: The naive ones, and the dumb ones.","A: No, they're not naive, they're dumb -- less ex -- less experience it, you -- you --you are in a normal time.","[1, 2, 3]"
Q: That's right.,A: You don't know what this crazy time.,"[1, 2, 3]"
"Q: No, no.","A: This is it.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.44Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: This is it. I appreciate that you've told me. I appreciate that you've shared it with,A: C'est la vie.,"[1, 2, 3]"
Q: Okay. This ends the United States Holocaust Memorial Museum interview,A: Where you put it?,"[1, 2, 3]"
"Q: It will be in our museum, and you will get a copy. And Matthew will get a copy.",A: Where -- where you put this stuff?,"[1, 2, 3]"
"Q: It's gonna be our archives, in our archives.","A: Archive, no, it mean nothing. Okay, good.","[1, 2, 3]"
